Analog Frequency	Real 	Imaginary
429.028	0.14237	0.570629
429.208	0.142488	0.570852
429.388	0.142606	0.571075
429.568	0.142723	0.571298
429.748	0.142841	0.57152
429.928	0.142959	0.571743
430.108	0.143077	0.571966
430.287	0.143195	0.572189
430.467	0.143313	0.572412
430.647	0.143432	0.572634
430.827	0.14355	0.572857
431.007	0.143668	0.57308
431.187	0.143786	0.573302
431.367	0.143905	0.573525
431.546	0.144023	0.573748
431.726	0.144141	0.57397
431.906	0.14426	0.574193
432.086	0.144378	0.574416
432.266	0.144497	0.574638
432.446	0.144616	0.574861
432.626	0.144734	0.575083
432.805	0.144853	0.575306
432.985	0.144972	0.575528
433.165	0.14509	0.575751
433.345	0.145209	0.575973
433.525	0.145328	0.576195
433.705	0.145447	0.576418
433.885	0.145566	0.57664
434.065	0.145685	0.576863
434.244	0.145804	0.577085
434.424	0.145923	0.577307
434.604	0.146043	0.57753
434.784	0.146162	0.577752
434.964	0.146281	0.577974
435.144	0.1464	0.578196
435.324	0.14652	0.578418
435.503	0.146639	0.578641
435.683	0.146759	0.578863
435.863	0.146878	0.579085
436.043	0.146998	0.579307
436.223	0.147117	0.579529
436.403	0.147237	0.579751
436.583	0.147357	0.579973
436.762	0.147476	0.580195
436.942	0.147596	0.580417
437.122	0.147716	0.580639
437.302	0.147836	0.580861
437.482	0.147956	0.581083
437.662	0.148076	0.581305
437.842	0.148196	0.581527
438.022	0.148316	0.581749
438.201	0.148436	0.581971
438.381	0.148556	0.582193
438.561	0.148676	0.582415
438.741	0.148796	0.582637
438.921	0.148917	0.582858
439.101	0.149037	0.58308
439.281	0.149157	0.583302
439.46	0.149278	0.583524
439.64	0.149398	0.583745
439.82	0.149519	0.583967
440	0.149639	0.584189
